planner_phase,subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
descent_to_grasp,sensitive_basis,128,40,0.01387083879208446,0.013454509559539743,0.021208040557831615,0.0008594032155021959,0.0007991432251091221,0.0012398822732377212,0.0005003358053529784,0.0004300279587595695,0.000978595815974637,0.00960140599636361,0.0061044394969940186,0.022893810272216798,0.047115192376600834,0.05585441212734875,0.0764653932893493,0.3739945844733118,0.34086216421897775,0.7269535454796814,40,0
grasp_close,delta_basis,1,50,0.003983824846124353,0.004084854638257415,0.005145522498134971,0.0016516469009621546,0.0013574761423634355,0.002751094123846106,0.0004315494946029706,0.0004113607741820824,0.0009318687180579655,0.004158248901367187,0.0032955706119537354,0.006450259685516357,0.10937093454159523,0.10849918816603238,0.13818457235021242,0.00047737682109889044,-0.0002102649879848074,0.003046821293111262,21,29
grasp_close,delta_basis,2,50,0.003965441143264356,0.00404067679674305,0.005149400686897593,0.0015752409311148466,0.0012125957099216808,0.002663292181192775,0.0004211459159954541,0.0003955698022270694,0.0009208888168560066,0.004162499904632569,0.0034285783767700195,0.006475907564163208,0.11013098041051231,0.10896867507563693,0.13964219054529284,0.0004957605239588879,-0.00017782338252620225,0.00308867681534834,21,29
grasp_close,delta_basis,4,50,0.0038772915622897874,0.0038552254011025248,0.005201716750338153,0.0016282619314702987,0.0016902920147075736,0.0026127960980520315,0.0004220509211351966,0.00035716338790281775,0.0009238560483361501,0.004247562885284424,0.0032666027545928955,0.006720852851867676,0.14821620045716125,0.14663446030478416,0.1964671321801856,0.0005839101049334564,3.789150716310358e-05,0.0030973641518384568,25,25
grasp_close,delta_basis,8,50,0.002980503184097483,0.0027713525285150043,0.004169893670757903,0.0011274149622665303,0.0009678711968881565,0.002073905393597112,0.00027762121789577524,0.00020384031179360266,0.0006711605679087914,0.0038430845737457277,0.0033473968505859375,0.0061543226242065435,0.21343379823072803,0.22211650489933793,0.249093553203341,0.0014806984831257609,0.0009008046748245546,0.004149464700956986,42,8
grasp_close,delta_basis,16,50,0.0025173690376222163,0.0025867582274206524,0.0035013352227038375,0.0008548160893686038,0.0007112365039164329,0.0017119448447175836,0.0002504203331155467,0.00020737294957320462,0.0005359073719253297,0.0027935457229614257,0.0024522244930267334,0.005142420530319214,0.23303251084869203,0.25047022753165005,0.26117932712756337,0.0019438326296010277,0.001165265825894474,0.005101444341612485,43,7
grasp_close,delta_basis,32,50,0.0022751164992229835,0.002338757286508001,0.0032361551807059447,0.0006836006781401574,0.0006114204091893548,0.0013246374464612846,0.00022051429658234727,0.00020394623074487366,0.00032865195036834946,0.0024875795841217043,0.002076268196105957,0.0047576606273651125,0.25317714187302176,0.2628961422269386,0.29317662667861055,0.0021860851680002608,0.0012265539698431184,0.005517805365980554,43,7
grasp_close,delta_basis,64,50,0.0020858286201178313,0.0021515083117275256,0.0029536988875169183,0.0005736117033564154,0.0005803941781320641,0.001027795622458272,0.00018677112032141575,0.00018286060995212708,0.000269491311661508,0.0021325814723968505,0.0017398297786712646,0.004003536701202392,0.27337985900238543,0.28236292237723504,0.31962307170830256,0.002375373047105413,0.0013835138773984844,0.005614252547623002,44,6
grasp_close,delta_basis,128,50,0.0018692492332324612,0.0019152722089795307,0.0026127687280638706,0.0003982345924012484,0.00036811971645143396,0.0007536071503296801,0.00015355249310732144,0.00015242256862070595,0.00022505225930085048,0.0021281206607818605,0.0018396973609924316,0.003832727670669556,0.29950995473962194,0.3116326645878446,0.350837899162048,0.0025919524339907828,0.0015795006235236031,0.005870199803552701,49,1
grasp_close,random_basis,1,50,0.004525595455435476,0.003473391868667369,0.007430270172839971,0.0037678946404379647,0.0035066789995365473,0.004949466259880906,0.00043944498341213486,0.00044392013905475284,0.0008946277184387762,0.00992957353591919,0.004111886024475098,0.022973585128784182,6.08609750526742e-06,3.6219806751485176e-06,1.8835156948850087e-05,-6.439378821223206e-05,-9.161656656626166e-05,0.00019021482290557635,14,36
