feature,frame,episode_id,progress,before_cosine_distance,after_cosine_distance,cosine_improvement,before_l2,after_l2,l2_improvement,shift_norm
vision_backbone.output,episode_000002_000028,episode_000002,28,0.18140420494122633,0.0600841373192752,0.12132006762195113,100.78934717639561,61.7492773859502,39.04006979044541,89.64495001721167
vision_backbone.output,episode_000002_000029,episode_000002,29,0.16730946413337333,0.05454355341277728,0.11276591072059605,99.05837161475607,59.48649978401964,39.57187183073643,90.78222204490991
vision_backbone.output,episode_000002_000030,episode_000002,30,0.1709819062686575,0.047499968556355854,0.12348193771230165,100.54171056927485,55.64680967177264,44.89490089750222,91.62044439312291
vision_backbone.output,episode_000002_000031,episode_000002,31,0.17989350495862577,0.04769034818271012,0.13220315677591565,102.61455529144268,55.45985200732199,47.15470328412069,92.28106301151148
vision_backbone.output,episode_000002_000032,episode_000002,32,0.17530994798273092,0.04678147945081246,0.12852846853191846,100.86136306680312,55.0049008980429,45.856462168760224,92.86162274922593
vision_backbone.output,episode_000002_000033,episode_000002,33,0.17485855474142353,0.04594559434681278,0.12891296039461075,100.74528774097384,54.715635857461365,46.02965188351247,93.19276272796805
vision_backbone.output,episode_000002_000034,episode_000002,34,0.17563696625555314,0.04838297953457582,0.12725398672097732,100.85996758013594,55.92143953255396,44.93852804758198,92.76497556595264
vision_backbone.output,episode_000002_000035,episode_000002,35,0.176110015921354,0.047662859375814826,0.12844715654553918,101.29337972663778,55.82351249570515,45.46986723093263,91.8540368639469
vision_backbone.output,episode_000002_000036,episode_000002,36,0.1820193354342471,0.05037662098096085,0.13164271445328624,102.87202657817211,57.07846246246783,45.79356411570428,89.8871323929289
vision_backbone.output,episode_000002_000037,episode_000002,37,0.17948418332508942,0.05164610428078398,0.12783807904430544,102.4785117679176,57.92527014328032,44.55324162463727,87.51323424605488
vision_backbone.output,episode_000002_000038,episode_000002,38,0.17746074854931004,0.054231219684016896,0.12322952886529315,101.42163988384249,59.109002909799514,42.312636974042974,85.52846739207406
vision_backbone.output,episode_000002_000039,episode_000002,39,0.1756746967088142,0.05648634577155731,0.11918835093725688,100.70499942710967,60.227822732432145,40.477176694677524,83.49747998019357
vision_backbone.output,episode_000002_000040,episode_000002,40,0.1855084288594946,0.05989796620933907,0.12561046265015552,103.42257362202207,61.71651649105145,41.70605713097062,81.78935842897512
vision_backbone.output,episode_000002_000041,episode_000002,41,0.17499443268013015,0.056575288424821846,0.1184191442553083,100.27721253852786,59.141061001057196,41.13615153747067,80.86947719050268
vision_backbone.output,episode_000002_000042,episode_000002,42,0.18024393311672215,0.058499570561707404,0.12174436255501475,99.71283732995454,58.97955288689537,40.73328444305917,79.93726583764523
vision_backbone.output,episode_000002_000043,episode_000002,43,0.13155846277414152,0.04367341240570688,0.08788505036843464,85.41712576655024,52.58689417434826,32.83023159220198,78.78489595097965
vision_backbone.output,episode_000002_000044,episode_000002,44,0.12613148370594374,0.03836696807097517,0.08776451563496857,83.81496153210651,48.554016711410675,35.26094482069583,77.40648009995937
vision_backbone.output,episode_000002_000045,episode_000002,45,0.12374512720943509,0.04138929038340933,0.08235583682602576,83.1044876050769,50.34350744006094,32.76098016501596,76.10605125050678
vision_backbone.output,episode_000002_000046,episode_000002,46,0.12370845603709357,0.04007417059779128,0.08363428543930229,83.11751172150507,49.12870236658082,33.98880935492425,74.28122434159285
vision_backbone.output,episode_000003_000000,episode_000003,0,0.0744701413976322,0.008508988173020038,0.06596115322461216,60.97303460048545,20.980417325521866,39.99261727496358,58.67331955629483
vision_backbone.output,episode_000003_000001,episode_000003,1,0.07615693870273299,0.009226515626802989,0.06693042307593,61.69146305037138,21.863314144947363,39.828148905424015,58.536924467513806
vision_backbone.output,episode_000003_000002,episode_000003,2,0.07846596394075323,0.009387422785629984,0.06907854115512324,62.678115473874755,22.077378976840706,40.60073649703405,58.52721286900652
vision_backbone.output,episode_000003_000003,episode_000003,3,0.0784094049773747,0.00919189933588238,0.06921750564149232,62.713843421334644,21.882112265999467,40.83173115533518,58.46120096539207
